Lon,Lat,LCC_elev_AD1900_C,LCC_elev_AD1900_B,LCC_elev_AD1900_U,NLC_elev_AD1900_C,NLC_elev_AD1900_B,NLC_elev_AD1900_O,HLU_elev_AD1900
6.0000000000,49.0000000000,0.1534390600,0.1578950856,0.6886658544,0.3688113829,0.3795220388,0.2516665783,0.5839633290
6.0000000000,50.0000000000,0.1417159593,0.1736265463,0.6846574943,0.3267914212,0.4003759781,0.2728326007,0.5663412496
6.0000000000,51.0000000000,0.1211233618,0.2004050301,0.6784716082,0.2564667104,0.4243377831,0.3191955065,0.5277228706
6.0000000000,52.0000000000,0.0960773073,0.1982896940,0.7056329987,0.2116692192,0.4368547152,0.3514760656,0.5460969354
6.0000000000,53.0000000000,0.0940027910,0.2178387579,0.6881584510,0.1790467908,0.4149167284,0.4060364808,0.4749819831
6.0000000000,54.0000000000,0.0785122830,0.2099279596,0.7115597574,0.1530234248,0.4091575751,0.4378190001,0.4869263765
6.0000000000,59.0000000000,0.1450324430,0.2190555581,0.6359119989,0.1573621621,0.2376782431,0.6049595948,0.0783525019
6.0000000000,60.0000000000,0.1537811882,0.1932875687,0.6529312431,0.1599975906,0.2011009646,0.6389014449,0.0388530999
6.0000000000,61.0000000000,0.1563432302,0.1752712224,0.6683855474,0.1603408796,0.1797528549,0.6599062655,0.0249321908
6.0000000000,62.0000000000,0.1377601653,0.1760811138,0.6861587209,0.1407990524,0.1799653326,0.6792356150,0.0215831503
6.0000000000,63.0000000000,0.1315981562,0.1816179890,0.6867838548,0.1347753320,0.1860027943,0.6792218737,0.0235738677
7.0000000000,45.0000000000,0.3231806353,0.1283721739,0.5484471908,0.5243356718,0.2082739579,0.2673903703,0.3836379008
7.0000000000,46.0000000000,0.3514790205,0.1340641009,0.5144568786,0.5313745731,0.2026813842,0.2659440427,0.3385475363
7.0000000000,47.0000000000,0.3234566065,0.1676843627,0.5088590308,0.4684579950,0.2428550809,0.2886869240,0.3095291148
7.0000000000,48.0000000000,0.2629006832,0.1690754673,0.5680238496,0.4568206011,0.2937883449,0.2493910540,0.4244990648
7.0000000000,49.0000000000,0.2257248063,0.1729956400,0.6012795537,0.4354410954,0.3337223420,0.2308365627,0.4816180450
7.0000000000,50.0000000000,0.1915184995,0.1867509103,0.6217305902,0.3813462413,0.3718531520,0.2468006068,0.4977831724
7.0000000000,51.0000000000,0.1548998120,0.2066515300,0.6384486580,0.3072325517,0.4098783338,0.2828891145,0.4958222650
7.0000000000,52.0000000000,0.1139085103,0.2085119180,0.6775795717,0.2410435663,0.4412353055,0.3177211282,0.5274360065
7.0000000000,53.0000000000,0.0931853390,0.2133514300,0.6934632311,0.1952543830,0.4470424456,0.3577031714,0.5227490542
7.0000000000,54.0000000000,0.0680757837,0.1927250643,0.7391991520,0.1620234221,0.4586943072,0.3792822707,0.5798398601
7.0000000000,59.0000000000,0.1879573351,0.2346295442,0.5774131208,0.2013881326,0.2513953805,0.5472164869,0.0666911073
7.0000000000,60.0000000000,0.2148948551,0.1988816727,0.5862234722,0.2209342853,0.2044710665,0.5745946482,0.0273358667
7.0000000000,61.0000000000,0.2177996252,0.1797454909,0.6024548839,0.2214773495,0.1827806401,0.5957420104,0.0166054195
7.0000000000,62.0000000000,0.1978890724,0.1832622570,0.6188486706,0.2009288501,0.1860773520,0.6129937979,0.0151286277
7.0000000000,63.0000000000,0.1704204638,0.1981941987,0.6313853375,0.1736216580,0.2019170974,0.6244612446,0.0184377585
8.0000000000,45.0000000000,0.2550909490,0.1336217458,0.6112873052,0.4795685124,0.2512075873,0.2692239003,0.4680823648
8.0000000000,46.0000000000,0.3161539329,0.1121273082,0.5717187589,0.5765735409,0.2044878536,0.2189386056,0.4516676356
8.0000000000,47.0000000000,0.3635151352,0.1509772619,0.4855076030,0.5306833680,0.2204065638,0.2489100683,0.3150056001
8.0000000000,48.0000000000,0.3186024333,0.1588951692,0.5225023975,0.5217546737,0.2602123792,0.2180329471,0.3893635278
8.0000000000,49.0000000000,0.2778255097,0.1769676303,0.5452068601,0.4838879918,0.3082240768,0.2078879315,0.4258474804
8.0000000000,50.0000000000,0.2102918009,0.1780669407,0.6116412584,0.4268469533,0.3614374445,0.2117156022,0.5073367650
8.0000000000,51.0000000000,0.1834256090,0.2053304159,0.6112439751,0.3569524331,0.3995799275,0.2434676394,0.4861343081
8.0000000000,52.0000000000,0.1397884559,0.2260040374,0.6342075067,0.2731539566,0.4416237136,0.2852223297,0.4882429761
8.0000000000,53.0000000000,0.0958632502,0.2142143153,0.6899224345,0.2128750762,0.4756868621,0.3114380617,0.5496736775
8.0000000000,54.0000000000,0.0662173696,0.1899376844,0.7438449460,0.1736912326,0.4982153578,0.3280934097,0.6187638911
8.0000000000,55.0000000000,0.0709167683,0.2195320221,0.7095512096,0.1526958060,0.4726896030,0.3746145910,0.5355683292
8.0000000000,56.0000000000,0.0865285904,0.2559452503,0.6575261594,0.1453109111,0.4298190615,0.4248700274,0.4045279207
8.0000000000,57.0000000000,0.0969341879,0.2668946018,0.6361712102,0.1466995874,0.4039166036,0.4493838091,0.3392333975
8.0000000000,59.0000000000,0.1993640131,0.2764468145,0.5241891724,0.2207320663,0.3060766866,0.4731912471,0.0968053873
8.0000000000,60.0000000000,0.2544489049,0.2356348889,0.5099162063,0.2643696455,0.2448220875,0.4908082670,0.0375260203
8.0000000000,61.0000000000,0.2886612756,0.2000171857,0.5113215387,0.2940973336,0.2037839017,0.5021187647,0.0184838741
8.0000000000,62.0000000000,0.2729105269,0.1971223795,0.5299670936,0.2768943420,0.1999998761,0.5231057819,0.0143874920
8.0000000000,63.0000000000,0.2182554374,0.2181109326,0.5636336299,0.2219812343,0.2218342627,0.5561845029,0.0167842878
8.0000000000,64.0000000000,0.2078209390,0.2249179957,0.5672610654,0.2125706449,0.2300584514,0.5573709037,0.0223441291
9.0000000000,45.0000000000,0.2880654584,0.1286420269,0.5832925147,0.5278508169,0.2357235030,0.2364256801,0.4542672869
9.0000000000,46.0000000000,0.3295248973,0.0973157950,0.5731593077,0.6335639741,0.1871050787,0.1793309472,0.4798869400
9.0000000000,47.0000000000,0.3970254295,0.1350437503,0.4679308202,0.5912156370,0.2010953730,0.2076889899,0.3284591870
9.0000000000,48.0000000000,0.3309236541,0.1476857216,0.5213906243,0.5591295420,0.2495302129,0.1913402451,0.4081449302
9.0000000000,49.0000000000,0.2649162802,0.1569949594,0.5780887604,0.5162626709,0.3059481170,0.1777892121,0.4868575725
9.0000000000,50.0000000000,0.2356703446,0.1766732415,0.5876564139,0.4651538555,0.3487084452,0.1861376992,0.4933496911
9.0000000000,51.0000000000,0.2149284448,0.2128874206,0.5721841346,0.3949998854,0.3912488494,0.2137512653,0.4558771971
9.0000000000,52.0000000000,0.1619853605,0.2374449881,0.6005696515,0.3048651750,0.4468842594,0.2482505655,0.4686655816
9.0000000000,53.0000000000,0.1058255016,0.2238208672,0.6703536312,0.2355019027,0.4980863714,0.2664117259,0.5506384433
9.0000000000,54.0000000000,0.0718911773,0.2035297170,0.7245791057,0.1882157505,0.5328539586,0.2789302909,0.6180384631
9.0000000000,55.0000000000,0.0676188672,0.2200244480,0.7123566848,0.1628131188,0.5297762013,0.3074106798,0.5846841601
9.0000000000,56.0000000000,0.0844860532,0.2647994358,0.6507145111,0.1579465947,0.4950422893,0.3470111159,0.4650973433
9.0000000000,57.0000000000,0.1014741935,0.2864533688,0.6120724377,0.1658550977,0.4681954082,0.3659494941,0.3881756127
9.0000000000,58.0000000000,0.1267453131,0.3032247245,0.5700299623,0.1872394692,0.4479505797,0.3648099511,0.3230844243
9.0000000000,59.0000000000,0.1969540664,0.3174679354,0.4855779982,0.2367094081,0.3815491016,0.3817414903,0.1679499857
9.0000000000,60.0000000000,0.2688151381,0.2912809375,0.4399039245,0.2913729998,0.3157240368,0.3929029635,0.0774191903
9.0000000000,61.0000000000,0.3290085708,0.2460100018,0.4249814274,0.3399234059,0.2541713655,0.4059052286,0.0321096898
9.0000000000,62.0000000000,0.3486089871,0.2217765660,0.4296144469,0.3551643263,0.2259469135,0.4188887602,0.0184572006
9.0000000000,63.0000000000,0.2781645284,0.2370411598,0.4847943117,0.2831373342,0.2412787945,0.4755838713,0.0175632287
9.0000000000,64.0000000000,0.2436758858,0.2404842221,0.5158398921,0.2491953687,0.2459314109,0.5048732204,0.0221492194
10.0000000000,45.0000000000,0.2706000418,0.1083411882,0.6210587700,0.5801432066,0.2322741855,0.1875826079,0.5335633707
10.0000000000,46.0000000000,0.3549792096,0.0832725600,0.5617482304,0.6977800322,0.1636882612,0.1385317065,0.4912734770
10.0000000000,47.0000000000,0.4459258164,0.1176319499,0.4364422337,0.6608156995,0.1743183202,0.1648659803,0.3251888284
